id,bid,text,头条文章url,原始图片url,视频url,位置,日期,工具,likes,评论数,转发数,tag,@用户,完整日期
5048053038322947,Oka4TyVb5,生命 力量 延时 摄影 金蝉脱壳 近日 气温 升高 蝉 迎接 夏天 到来 秒 金蝉脱壳 全过程 CCTV 纪录 云南 CCTV 纪录 微博 视频,,,"https://f.video.weibocdn.com/o0/rikSXxcmlx08fKQNY3BS010412008yHl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059417&ssig=kXSibJWtg%2F&KID=unistore,video",,2024-06-22T13:11:35,微博视频号,1966,584,506,"延时摄影看金蝉脱壳,30秒看金蝉脱壳全过程",,2024-06-22 13:11:35
5048046681327948,Ok9UE5zsw,大运河 里 古人 智慧 有多绝 行看 穿越 千年 大运河 2014 月 22 日 大运河 列入 世界遗产 名录 穿越 2500 多年 蜿蜒 3200 公里 大运河 中华民族 最具 标识 独特 大运河 申遗 成功 周年 一组 中华文化 笔记 流动,,"https://wx1.sinaimg.cn/large/0033ImPzly1hqy18g1ayuj60j60sfgwm02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1hqy18fvbr3j60j60sf47l02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqy18g0adaj60j60sfal002.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqy18g1kjyj60j60sfwqa02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1hqy18fkrpyj60j60sfk0v02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqy18fwaw9j60j60sfn6q02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqy18g3sxqj60j614u4e902.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1hqy18fxrumj60j60sfk1b02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1hqy18g6keaj60j61fzau102.jpg",,,2024-06-22T12:46:20,微博网页版,1383,457,518,"大运河里的古人智慧有多绝,文化中国行看穿越千年的大运河,中华文化学习笔记",,2024-06-22 12:46:20
5048038014588553,Ok9GFjfGV,优秀 优秀 老兵 装备 满是 欣慰 近日 联勤 部队 某部 迎来 位老 工程兵 年前 开山 拓荒 凿石 挖洞 重返 军营 装备 话 里 感慨 欣慰 致敬 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/m4eKPNt4lx08fQBA1O7S01041200oSjw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059426&ssig=tuIsmoqq%2B1&KID=unistore,video",,2024-06-22T12:11:53,微博视频号,2494,525,227,老兵体验新装备满是欣慰,,2024-06-22 12:11:53
5048026351797573,Ok9nR7xD7,加油 滑板 小花 晋级 巴黎 奥运会 滑板 少女 加油 北京 时间 22 凌晨 巴黎 奥运会 资格 系列赛 布达佩斯 站 滑板 女子 街式 预赛 朱沅铃 崔宸 曦 曾文蕙 位列 15 携手 晋级 半决赛 确保 三人 提前 锁定 巴黎 奥运会 参赛 资格 滑板 运动 奥运 新兴 项目 东京 奥运会 中国队 女子 街式 项目 曾文蕙 一人 参赛 巴黎 奥运会 中国队 项目 满额 参赛 突破 跨越 人民日报 记者 王亮,,https://wx1.sinaimg.cn/large/0033ImPzly1hqxyvnzpnyj60nw0dfdk602.jpg,,,2024-06-22T11:25:33,微博网页版,1384,546,202,"中国滑板三小花晋级巴黎奥运会,为中国滑板少女加油",,2024-06-22 11:25:33
5048017990715772,Ok9an30cI,实用 毕业 拍得 好玩 一年 毕业 季 毕业 照拍 新花样 毕业 拍摄 攻略 快门 定格 校园 时光 2024 毕业 季 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/b38nzljWlx085GmstfW001041200cV5k0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059447&ssig=HNbyYp5J1v&KID=unistore,video",,2024-06-22T10:52:19,微博视频号,779,394,184,"毕业照可以拍得多好玩,毕业照拍摄攻略,2024毕业季",,2024-06-22 10:52:19
5048006674222478,Ok8S7hIsu,报 志愿 有用 3117 高校 全名单 明起 高考 出分 心仪 大学 3117 高校 全名单 一文 加油 理想 大学 网页 链接 报 志愿 有用 教育部 3117 高校 全名单,,,,,2024-06-22T10:07:21,微博 weibo.com,2742,518,854,"全国3117所高校全名单,明起高考就要出分了",,2024-06-22 10:07:21
5047996545238730,Ok8BMlYPE,万吨 大驱 大连 舰 航拍 大片 秒 万吨 大驱 大连 舰 驰骋 大洋 感受 满屏 万吨 大驱 带来 安全感 央视 军事 微博 视频,,,"https://f.video.weibocdn.com/o0/1fAFLp37lx08fPrxPGwU01041200Jdbq0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1719059454&ssig=5PgoY7EBkA&KID=unistore,video",,2024-06-22T09:27:06,微博视频号,1699,709,392,"万吨大驱大连舰航拍大片,30秒看万吨大驱大连舰驰骋大洋",,2024-06-22 09:27:06
5047988474348837,Ok8oLifkx,毕业 姜铁红 跳 奔腾 祝福 毕业生 近日 中央民族大学 毕业典礼 姜铁红 院长 姜铁红 戈壁 石 毕业生 跳 奔腾 祝福 毕业生 笑傲江湖 勇闯 天涯 2024 毕业 季 人民日报 微博 视频,,,"https://f.video.weibocdn.com/o0/uA66WoMhlx08fQo41RV601041200JUzM0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1719059458&ssig=pEgFhZmDAR&KID=unistore,video",,2024-06-22T08:55:02,微博视频号,11098,921,827,"姜铁红再跳奔腾祝福毕业生,2024毕业季","中央民族大学,姜铁红_戈壁石",2024-06-22 08:55:02
5047977162310325,Ok86w9H1j,祝 金榜题名 明起 省份 查 高考 成绩 29 省份 公布 高考 出分 时间 月 23 日至 25 日 明天 预计 上海 四川 宁夏 云南 出分 2024 高考 成绩 公布 时间 汇总 祝福 考生 最全 汇总 2024 考查 分 时间,,,,,2024-06-22T08:10:05,微博 weibo.com,2062,753,403,"明起多省份可查高考成绩,29省份公布高考出分时间,2024高考成绩公布时间汇总",,2024-06-22 08:10:05
5047967419467223,Ok7QNDIR9,干货 高考 志愿 填报 超 详细 知识点 陆续 高考 成绩 志愿 填报 报 志愿 资料 志愿 填报 哪几种 高考 报 志愿 避开 误区 志愿 填报 知识点 帮 转需 愿 梦中 情校 学到 理想 专业 专业 报考 指南,,"https://wx4.sinaimg.cn/large/0033ImPzly1hqxs52z6kbj60j60xgwop02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1hqxs52x50uj60j60pjdnh02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1hqxs52xah0j60j60rtwmh02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1hqxs5305g3j60j60wzwof02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1hqxs52u47lj60j60odag802.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1hqxs52x55vj60j60tan4s02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqxs52yg10j60j60uhthi02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1hqxs52zebdj60j60uhn7802.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1hqxs5307vij60j616lgy302.jpg",,,2024-06-22T07:31:22,微博网页版,1278,353,743,"高考志愿填报超详细知识点,高考报志愿要避开的9个误区,专业报考指南",,2024-06-22 07:31:22
